model,technique,task,metric,value
XGB,sb_anon_template2,ec,recall,0.73
XGB,sb_anon_template2,ec,f1-score,0.77
XGB,sb_anon_template2,pclass,accuracy,0.76
XGB,sb_anon_template2,pclass,precision,0.69
XGB,sb_anon_template2,pclass,recall,0.56
XGB,sb_anon_template2,pclass,f1-score,0.54
XGB,sb_anon_template3,avgpcon,MAE,41.266
XGB,sb_anon_template3,avgpcon,R2 Score,-0.162
XGB,sb_anon_template3,duration,MAE,529.7402
XGB,sb_anon_template3,duration,R2 Score,-2.0017
XGB,sb_anon_template3,ec,accuracy,0.77
XGB,sb_anon_template3,ec,precision,0.6
XGB,sb_anon_template3,ec,recall,0.58
XGB,sb_anon_template3,ec,f1-score,0.59
XGB,sb_anon_template3,pclass,accuracy,0.72
XGB,sb_anon_template3,pclass,precision,0.55
XGB,sb_anon_template3,pclass,recall,0.51
XGB,sb_anon_template3,pclass,f1-score,0.48
XGB,sb_anon_template4,avgpcon,MAE,34.7636
XGB,sb_anon_template4,avgpcon,R2 Score,-0.0359
XGB,sb_anon_template4,duration,MAE,417.406
XGB,sb_anon_template4,duration,R2 Score,-0.7874
XGB,sb_anon_template4,ec,accuracy,0.89
XGB,sb_anon_template4,ec,precision,0.86
XGB,sb_anon_template4,ec,recall,0.76
XGB,sb_anon_template4,ec,f1-score,0.8
XGB,sb_anon_template4,pclass,accuracy,0.76
XGB,sb_anon_template4,pclass,precision,0.69
XGB,sb_anon_template4,pclass,recall,0.58
XGB,sb_anon_template4,pclass,f1-score,0.58
XGB,sb_anon_template5,avgpcon,MAE,33.2909
XGB,sb_anon_template5,avgpcon,R2 Score,0.0685
XGB,sb_anon_template5,duration,MAE,359.4593
XGB,sb_anon_template5,duration,R2 Score,-0.5101
XGB,sb_anon_template5,ec,accuracy,0.86
XGB,sb_anon_template5,ec,precision,0.83
XGB,sb_anon_template5,ec,recall,0.69
XGB,sb_anon_template5,ec,f1-score,0.73
XGB,sb_anon_template5,pclass,accuracy,0.76
XGB,sb_anon_template5,pclass,precision,0.72
XGB,sb_anon_template5,pclass,recall,0.58
XGB,sb_anon_template5,pclass,f1-score,0.58
XGB,sb_anon_template6,avgpcon,MAE,44.3854
XGB,sb_anon_template6,avgpcon,R2 Score,-0.3687
XGB,sb_anon_template6,duration,MAE,777.0248
XGB,sb_anon_template6,duration,R2 Score,-4.0121
XGB,sb_anon_template6,ec,accuracy,0.78
XGB,sb_anon_template6,ec,precision,0.63
XGB,sb_anon_template6,ec,recall,0.63
XGB,sb_anon_template6,ec,f1-score,0.63
XGB,sb_anon_template6,pclass,accuracy,0.73
XGB,sb_anon_template6,pclass,precision,0.59
XGB,sb_anon_template6,pclass,recall,0.53
